"opponent","date","score","w_l","fgm_a","pct","x3fg_a","pct_2","ftm_a","pct_3","off","def","tot","avg","pf","ast","to","blk","stl","pts","avg_2","season"
"MIT",2015-01-10,"70-62","W","28-53",0.528,"4-6",0.667,"10-19",0.526,8,25,33,39.2,14,14,14,5,5,70,62.7,"2014-15"
"Coast Guard",2015-01-13,"55-48","W","21-51",0.412,"4-21",0.19,"9-16",0.563,9,23,32,38.6,6,13,19,3,8,55,62.1,"2014-15"
"Mount Holyoke College",2015-01-15,"37-82","L","11-47",0.234,"2-11",0.182,"13-22",0.591,12,28,40,38.7,14,6,30,7,4,37,60.3,"2014-15"
"Roger Williams",2013-11-16,"66-59","W","17-47",0.362,"5-11",0.455,"27-33",0.818,11,31,42,42,21,11,27,4,8,66,66,"2013-14"
"Clark (MA)",2013-11-20,"74-89","L","26-60",0.433,"2-4",0.5,"20-31",0.645,14,24,38,40,26,11,24,2,11,74,70,"2013-14"
"Babson College",2013-11-23,"70-56","W","27-65",0.415,"7-20",0.35,"9-15",0.6,12,23,35,38.3,23,15,21,2,11,70,70,"2013-14"
"Wheaton (MA)",2013-11-26,"72-69","W","23-54",0.426,"5-15",0.333,"21-31",0.677,15,42,57,43,20,16,30,8,4,72,70.5,"2013-14"
"Mount Holyoke",2013-12-04,"38-71","L","15-54",0.278,"3-6",0.5,"5-8",0.625,11,28,39,42.2,11,7,30,7,7,38,64,"2013-14"
"Wellesley College",2013-12-07,"68-53","W","24-48",0.5,"5-11",0.455,"15-21",0.714,7,29,36,41.2,16,14,27,0,8,68,64.7,"2013-14"
"Westfield State",2013-12-10,"73-68","W","29-65",0.446,"6-11",0.545,"9-15",0.6,14,27,41,41.1,12,19,16,0,9,73,65.9,"2013-14"
"Middlebury",2014-01-01,"76-63","W","27-54",0.5,"5-16",0.313,"17-28",0.607,10,29,39,40.9,13,18,19,1,6,76,67.1,"2013-14"
"WPI",2014-01-04,"69-61","W (OT)","22-55",0.4,"5-12",0.417,"20-26",0.769,14,26,40,40.8,11,8,16,2,5,69,67.3,"2013-14"
"MIT",2014-01-07,"53-58","L","20-65",0.308,"2-10",0.2,"11-13",0.846,15,25,40,40.7,15,13,20,2,14,53,65.9,"2013-14"
"Springfield",2014-01-09,"64-82","L","25-60",0.417,"1-5",0.2,"13-18",0.722,8,20,28,39.5,21,14,11,0,6,64,65.7,"2013-14"
"Roger Williams",2012-11-17,"62-90","L","25-62",0.403,"4-14",0.286,"8-18",0.444,14,20,34,34,17,18,18,3,6,62,62,"2012-13"
"Middlebury",2012-11-20,"47-80","L","17-55",0.309,"2-11",0.182,"11-17",0.647,14,27,41,37.5,11,4,26,3,7,47,54.5,"2012-13"
"Rensselaer",2012-11-25,"66-63","W","24-68",0.353,"4-18",0.222,"14-16",0.875,22,21,43,39.3,11,14,21,2,14,66,58.3,"2012-13"
"Mount Holyoke",2012-11-28,"50-71","L","19-61",0.311,"5-17",0.294,"7-10",0.7,13,25,38,39,16,7,24,4,6,50,56.3,"2012-13"
"Wheaton",2012-12-01,"46-70","L","18-48",0.375,"2-12",0.167,"8-14",0.571,12,28,40,39.2,16,12,36,4,8,46,54.2,"2012-13"
"Springfield College",2012-12-04,"56-73","L","25-54",0.463,"1-3",0.333,"5-9",0.556,14,23,37,38.8,16,10,28,5,7,56,54.5,"2012-13"
"Coast Guard",2012-12-06,"57-74","L","20-48",0.417,"5-13",0.385,"12-16",0.75,15,23,38,38.7,21,10,31,2,7,57,54.9,"2012-13"
"Trinity (Conn.)",2012-12-08,"47-68","L","19-53",0.358,"0-3",0,"9-18",0.5,17,25,42,39.1,17,10,29,1,6,47,53.9,"2012-13"
"MCLA",2012-12-12,"46-77","L","16-56",0.286,"7-23",0.304,"7-10",0.7,12,25,37,38.9,19,13,33,7,13,46,53,"2012-13"
"Westfield State University",2013-01-02,"60-82","L","24-70",0.343,"1-8",0.125,"11-20",0.55,16,29,45,39.5,16,15,24,2,7,60,53.7,"2012-13"
"Wellesley",2013-01-05,"73-82","L (OT)","25-54",0.463,"5-10",0.5,"18-24",0.75,11,25,36,39.2,20,12,30,3,11,73,55.5,"2012-13"
"MIT",2013-01-08,"47-63","L","20-53",0.377,"2-13",0.154,"5-12",0.417,15,31,46,39.8,10,6,35,3,7,47,54.8,"2012-13"
"Westfield State",2011-11-15,"55-60","L","21-59",0.356,"5-19",0.263,"8-8",1,14,28,42,42,15,11,20,1,11,55,55,"2011-12"
"Brockport",2011-11-19,"43-69","L","10-46",0.217,"2-8",0.25,"21-32",0.656,13,23,36,39,18,4,27,0,16,43,49,"2011-12"
"Nazareth",2011-11-20,"60-65","L","21-49",0.429,"7-20",0.35,"11-15",0.733,7,30,37,38.3,17,12,25,3,9,60,52.7,"2011-12"
"Elms",2011-11-22,"51-76","L","21-50",0.42,"1-8",0.125,"8-12",0.667,6,23,29,36,13,13,25,0,9,51,52.3,"2011-12"
"Mount Holyoke",2011-11-30,"33-66","L","10-41",0.244,"0-10",0,"13-28",0.464,13,19,32,35.2,18,1,23,1,7,33,48.4,"2011-12"
"Wheaton College",2011-12-03,"40-56","L","15-52",0.288,"2-12",0.167,"8-11",0.727,13,23,36,35.3,12,7,21,2,12,40,47,"2011-12"
"Springfield",2011-12-06,"54-46","W","19-55",0.345,"2-6",0.333,"14-18",0.778,14,26,40,36,12,10,18,2,12,54,48,"2011-12"
"Coast Guard",2011-12-08,"42-57","L","18-57",0.316,"4-10",0.4,"2-3",0.667,13,25,38,36.3,9,12,24,2,7,42,47.3,"2011-12"
"Trinity (Conn.)",2011-12-10,"59-53","W","21-60",0.35,"1-11",0.091,"16-21",0.762,12,26,38,36.4,17,18,12,3,8,59,48.6,"2011-12"
"MCLA",2011-12-14,"59-64","L","20-55",0.364,"2-11",0.182,"17-28",0.607,12,31,43,37.1,13,13,28,3,10,59,49.6,"2011-12"
"MIT",2012-01-04,"51-55","L","18-52",0.346,"6-17",0.353,"9-12",0.75,12,24,36,37,15,6,24,2,12,51,49.7,"2011-12"
"Wellesley College",2012-01-07,"62-61","W","22-49",0.449,"2-6",0.333,"16-21",0.762,10,21,31,36.5,13,9,18,4,8,62,50.8,"2011-12"
"Clark",2012-01-11,"59-92","L","21-59",0.356,"3-14",0.214,"14-19",0.737,10,26,36,36.5,19,13,22,4,9,59,51.4,"2011-12"
"Framingham State",2010-11-15,"40-59","L","15-56",0.268,"2-15",0.133,"8-15",0.533,20,24,44,44,10,8,29,3,12,40,40,"2010-11"
"Westfield State University",2010-11-17,"72-70","W (OT)","27-74",0.365,"7-26",0.269,"11-27",0.407,15,23,38,41,15,16,14,2,12,72,56,"2010-11"
"Vassar College",2010-11-20,"67-58","W","21-50",0.42,"6-11",0.545,"19-22",0.864,8,30,38,40,13,9,16,4,5,67,59.7,"2010-11"
"Bryn Mawr College",2010-11-21,"30-69","L","8-46",0.174,"1-6",0.167,"13-20",0.65,12,25,37,39.3,16,5,27,3,9,30,52.3,"2010-11"
"Elms College",2010-11-23,"64-85","L","25-54",0.463,"2-8",0.25,"12-15",0.8,6,22,28,37,15,15,20,3,7,64,54.6,"2010-11"
"WPI",2010-12-01,"58-53","W","17-50",0.34,"6-14",0.429,"18-21",0.857,16,22,38,37.2,11,7,19,3,8,58,55.2,"2010-11"
"Babson",2010-12-04,"62-49","W","26-52",0.5,"0-4",0,"10-15",0.667,16,29,45,38.3,17,17,29,5,10,62,56.1,"2010-11"
"Mount Holyoke College",2010-12-07,"46-59","L","16-49",0.327,"5-19",0.263,"9-14",0.643,20,22,42,38.8,10,10,24,3,5,46,54.9,"2010-11"
"Coast Guard",2010-12-09,"50-62","L","21-57",0.368,"1-3",0.333,"7-16",0.438,20,24,44,39.3,15,9,22,2,6,50,54.3,"2010-11"
"Trinity (CT)",2010-12-11,"64-40","W","27-63",0.429,"6-16",0.375,"4-5",0.8,13,31,44,39.8,10,18,13,1,7,64,55.3,"2010-11"
"Wellesley",2011-01-05,"52-60","L","18-46",0.391,"4-9",0.444,"12-24",0.5,5,25,30,38.9,18,6,22,2,13,52,55,"2010-11"
"MIT",2011-01-08,"38-54","L","12-41",0.293,"2-7",0.286,"12-21",0.571,11,21,32,38.3,16,5,24,1,12,38,53.6,"2010-11"
